"Radius","","PutMask(double, double, int)","qlrps(double, double, double, int, double, double, prop_type&)","GetMask(double, double)","ReadBearing(char*)","hzns2(double*, prop_type&, propa_type&)","WritePPMSS(char*, unsigned char, unsigned char, unsigned char, site*, unsigned char)","z1sq2(double*, double const&, double const&, double&, double&)","fht(double const&, double const&)","haat(site)","ElevationAngle(site, site)","ascat(double, prop_type&, propa_type&)","LoadSignalColors(site)","saalos(double, prop_type&, propa_type&)","dec2dms(double)","lrprop(double, prop_type&, propa_type&)","lrprop2(double, prop_type&, propa_type&)","aknfe(double const&)","OrMask(double, double, int)","point_to_point_ITM(double*, double, double, double, double, double, double, int, int, double, double, double&, char*, int&)","GetSignal(double, double)","AverageTerrain(site, double, double, double)","LoadPAT(char*)","ahd(double)","PlaceMarker(site)","adiff(double, prop_type&, propa_type&)","h0f(double, double)","LoadQTH(char*)","Azimuth(site, site)","PutSignal(double, double, unsigned char)","AddElevation(double, double, double)","d1thx2(double*, double const&, double const&, propa_type&)","avar(double, double, double, prop_type&, propv_type&)","ReadLRParm(site, char)","Distance(site, site)","z1sq1(double*, double const&, double const&, double&, double&)","LoadSDF_SDF(char*)","FORTRAN_DIM(double const&, double const&)","qlrpfl(double*, int, int, prop_type&, propa_type&, propv_type&)","qlrpfl2(double*, int, int, prop_type&, propa_type&, propv_type&)","abq_alos(std::complex<double>)","LoadSDF(char*)","qtile(int const&, double*, int const&)","GetElevation(site)","curve(double const&, double const&, double const&, double const&, double const&, double const&)","PlotLRPath(site, site, unsigned char, _IO_FILE*)","ReadPath(site, site)","PlotPath(site, site, char)","adiff2(double, prop_type&, propa_type&)","point_to_point(double*, double, double, double, double, double, double, int, int, double, double, double&, char*, int&)","SiteReport(site)","PlotLRMap(site, double, char*)","arccos(double, double)","qerfi(double)","LoadSDF_BZ(char*)","alos(double, prop_type&, propa_type&)","hzns(double*, prop_type&)","interpolate(int, int, int, int, int)","alos2(double, prop_type&, propa_type&)","d1thx(double*, double const&, double const&)","LoadTopoData(int, int, int, int)",
1,,0.00,0.00,0.00,0.00,0.00,0.71,0.00,0.00,0.00,,,0.00,0.02,0.00,,0.00,0.00,0.03,0.01,0.02,0.00,0.00,,0.00,,,0.00,0.00,0.00,,0.01,0.00,0.00,0.00,,0.12,,,0.00,,0.00,0.01,1.42,0.00,0.09,1.71,,0.01,0.01,0.00,0.01,0.06,0.00,0.00,,,0.03,0.00,,0.00,
2,,0.00,0.00,0.00,0.00,0.01,0.79,0.03,0.00,0.00,,,0.00,0.01,0.00,,0.01,0.00,0.04,,0.04,0.00,0.00,,0.00,,,0.00,0.00,0.00,,0.03,0.01,0.00,0.00,,0.10,,,0.00,,0.00,0.09,1.62,0.00,0.07,1.74,,0.05,0.02,0.00,0.00,0.10,0.00,0.00,,,0.04,0.00,,0.00,
3,,0.00,0.01,0.00,0.00,0.15,0.76,0.05,0.00,0.00,,,0.00,0.15,0.00,,0.01,0.00,0.04,,0.03,0.00,0.00,,0.00,,,0.00,0.00,0.00,,0.11,0.04,0.00,0.00,,0.11,,,0.00,,0.00,0.36,1.49,0.01,0.11,1.83,,0.08,0.02,0.00,0.00,0.11,0.01,0.00,,,0.01,0.01,,0.00,
4,,0.00,0.03,0.00,0.00,0.26,0.73,0.08,0.02,0.00,,,0.00,0.23,0.00,,0.02,0.02,0.10,,0.02,0.00,0.00,,0.00,,,0.00,0.00,0.00,,0.33,0.09,0.00,0.00,,0.08,,,0.00,,0.00,0.37,1.65,0.00,0.11,2.02,,0.15,0.04,0.00,0.01,0.06,0.02,0.00,,,0.02,0.00,,0.00,
5,,0.00,0.00,0.00,0.00,0.39,0.61,0.15,0.01,0.00,,,0.00,0.35,0.00,,0.03,0.01,0.15,,0.04,0.00,0.00,,0.00,,,0.00,0.01,0.00,,0.54,0.11,0.00,0.00,0.01,0.11,,,0.01,,0.00,0.86,1.37,0.08,0.13,2.12,,0.27,0.06,0.00,0.00,0.14,0.01,0.00,,,0.04,0.00,,0.00,
6,,0.01,0.00,0.00,0.00,0.65,0.86,0.22,0.00,0.00,,0.01,0.00,0.47,0.00,,0.03,0.03,0.14,0.01,0.04,0.00,0.01,,0.00,0.01,,0.00,0.00,0.01,,0.79,0.14,0.00,0.00,,0.06,,,0.02,,0.00,1.73,1.52,0.08,0.22,1.97,,0.46,0.12,0.00,0.00,0.11,0.04,0.00,,,0.02,0.03,,0.00,
7,,0.00,0.00,0.01,0.00,1.27,0.90,0.52,0.03,0.00,,,0.00,0.44,0.00,0.01,0.07,0.04,0.16,,0.06,0.00,0.00,,0.00,,,0.00,0.00,0.00,,1.45,0.13,0.00,0.00,,0.09,,,0.05,,0.00,2.58,1.66,0.08,0.10,1.81,,0.43,0.14,0.00,0.00,0.14,0.03,0.00,,,0.04,0.01,,0.00,
8,,0.00,0.00,0.00,0.00,1.98,0.83,0.70,0.02,0.00,,,0.00,0.93,0.00,,0.06,0.02,0.22,,0.08,0.00,0.00,,0.00,,,0.00,0.02,0.02,,1.95,0.23,0.00,0.00,,0.14,,,0.05,,0.00,3.32,1.42,0.06,0.20,1.91,,0.72,0.20,0.00,0.00,0.12,0.04,0.00,,,0.07,0.00,,0.00,
9,,0.00,0.04,0.01,0.00,2.79,0.76,0.79,0.02,0.00,,,0.00,1.04,0.00,,0.10,0.03,0.29,,0.14,0.00,0.00,,0.00,0.01,,0.00,0.04,0.02,,2.58,0.29,0.00,0.00,,0.08,,,0.01,,0.00,5.17,1.46,0.11,0.19,1.79,,1.00,0.38,0.00,0.00,0.14,0.03,0.00,,,0.01,0.00,,0.00,
10,,0.02,0.02,0.00,0.00,3.86,0.80,0.94,0.01,0.00,,,0.00,1.31,0.00,,0.17,0.04,0.31,,0.09,0.00,0.01,,0.00,,,0.00,0.02,0.00,,3.68,0.32,0.00,0.00,,0.13,,,0.05,,0.00,6.87,1.48,0.11,0.18,1.93,,0.99,0.31,0.00,0.00,0.10,0.09,0.00,,,0.04,0.01,,0.00,
